stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,alias,stop_area,stop_desc,lest_x,lest_y,zone_name
28927,3700100-1,Käina,58.82700282,22.77560765,28927,,Käina vald,,6521491.42,429283.45,
28928,3700103-1,Käina kool,58.8323775,22.78606916,28928,,Käina vald,,6522079.00,429898.43,
28929,6700087-1,Enge,58.64358399,24.55807865,28929,,Halinga vald,,6500551.03,532404.03,
28930,7800281-1,Kokora,58.63629582,27.06138888,28930,,Alatskivi vald,,6503661.00,677732.50,
28931,6700311-1,Kodesmaa,58.63983109,24.49200933,28931,,Halinga vald,,6500103.01,528570.95,
28932,5100109-1,Kalmistu,59.02841345,25.89605297,28932,,Järva-Jaani vald,,6544819.38,608866.71,
28933,5100363-1,Pikamäe,59.0004122,25.86660562,28933,,Järva-Jaani vald,,6541654.11,607263.14,tartu2
28934,5100118-1,Kargu,59.07656671,25.88702453,28934,,Järva-Jaani vald,,6550166.48,608197.58,
28935,5100072-1,Jalgsema,59.08766545,25.89501342,28935,,Järva-Jaani vald,,6551415.21,608620.60,
28936,5100331-1,Orina,59.05025082,25.9098216,28936,,Järva-Jaani vald,,6547273.30,609587.81,
28938,5100120-1,Karinu,59.03773913,25.95856576,28938,,Järva-Jaani vald,,6545960.86,612424.71,
28940,5100266-1,Metsaküla,58.77421191,25.57205245,28940,,Türi vald,,6516031.50,590930.68,tartu1
28942,5100278-1,Muriku,58.64620149,25.46019419,28942,,Türi vald,,6501630.50,584772.00,tartu2
28943,5100091-1,Kabala,58.69187098,25.63419845,28943,,Türi vald,,6506948.75,594748.06,
28946,8200150-1,Kase,58.01681405,26.1866186,28946,,Puka vald,,6432713.92,629217.08,
28947,8200540-1,Roobe mõis,57.96666843,25.96332238,28947,,Helme vald,,6426723.01,616188.94,
28948,5100545-1,Töökoda,58.8978419,25.43806721,28948,,Väätsa vald,,6529625.00,582886.75,tartu1
28949,5100630-1,Väätsa-Nõmme,58.89130322,25.417821,28949,,Väätsa vald,,6528872.00,581735.37,tartu1
28950,8200538-1,Roobe mõis,57.96727888,25.96335601,28950,,Helme vald,,6426791.03,616188.94,
28951,8200240-1,Käärikmäe,57.95451907,25.96937866,28951,,Hummuli vald,,6425380.93,616586.97,
28952,7400535-1,Pajumõisa tee,58.36833875,22.06482736,28952,,Kihelkonna vald,,6471393.03,386766.97,
28953,7400536-1,Pajumõisa tee,58.36835799,22.06433106,28953,,Kihelkonna vald,,6471396.01,386738.00,
28954,7400538-1,Pamma,58.49413842,22.61388233,28954,,Leisi vald,,6484606.04,419177.94,
28956,5100542-1,Tännassilma,58.74570697,25.48261527,28956,,Türi vald,,6512739.50,585828.50,tartu1
28957,7800499-1,Maidla,58.20420198,26.80822454,28957,,Kambja vald,,6454933.99,665057.96,
28958,7800347-1,Kuuste,58.25282134,26.78440539,28958,,Kambja vald,,6460286.06,663434.04,
28959,7800494-1,Maarjakase,58.25787792,26.59946264,28959,,Nõo vald,,6460413.17,652562.41,
28960,7800493-1,Maarjakase,58.25799546,26.59935242,28960,,Nõo vald,,6460426.00,652555.43,
28961,7800231-1,Keeri,58.32268961,26.50282173,28961,,Nõo vald,,6467411.00,646623.96,
28962,7800030-1,Alla,58.28434637,26.49784017,28962,,Nõo vald,,6463132.50,646491.25,
28963,6700497-1,Liu,58.27893234,24.2543228,28963,,Audru vald,,6459829.93,514921.01,
28964,8600467-1,Palometsa,57.81173697,27.09363777,28964,,Võru vald,,6412006.56,683837.54,
28965,7800032-1,Altmäe,58.21920477,26.46738782,28965,,Nõo vald,,6455816.00,644972.93,
28966,7800135-1,Illi,58.20775327,26.4416033,28966,,Nõo vald,,6454485.97,643505.04,
28967,8600259-1,Kärgula,57.93135581,26.69011303,28967,,Sõmerpalu vald,,6424284.97,659337.98,
28968,8600549-1,Rebäse,57.71945686,26.98306143,28968,,Rõuge vald,,6401440.95,677727.96,
28969,8600738-1,Utsali,57.7314186,27.00416915,28969,,Rõuge vald,,6402828.04,678925.05,
28970,8600459-1,Osula,57.88116869,26.82835372,28970,,Sõmerpalu vald,,6419037.00,667757.00,
28971,7800938-1,Tatra,58.26065216,26.68727346,28971,,Ülenurme vald,,6460925.00,657700.93,
28972,8600345-1,Loosi kool,57.80652754,27.20368663,28972,,Vastseliina vald,,6411733.97,690399.94,
28973,8600650-1,Sute,57.81345777,27.23701549,28973,,Vastseliina vald,,6412600.05,692341.96,
28974,8600197-1,Kokõmäe,57.7115867,27.01395029,28974,,Rõuge vald,,6400647.52,679606.43,
28975,7800841-1,Sarakuste,58.36728022,26.943806,28975,,Mäksa vald,,6473421.45,672225.11,
28976,7000318-1,Mahlamäe,59.00030317,24.79611105,28976,,Rapla vald,,6540420.94,545752.92,
